,Solubility (M/L),SMILES
61,-0.02,CN1C2CCC1C(C(O)=O)C(O)C2
62,-0.03,C1CCOCC1
63,-0.06,CCC1NC(=O)NC1(=O)
64,-0.07,Cc1cc(O)no1
65,-0.09,NC(C(O)=O)C(O)C
66,-0.09,CCOCC
67,-0.1,C(c1ccco1)=O
68,-0.12,Cc1nc(nccn2)c2cn1
69,-0.13,NC(C(O)=O)C(C)(S)C
70,-0.14,CCN(CC)CC
71,-0.17,c1ccc[nH]1
72,-0.17,OC1C(O)C(O)CC(O)C1O
73,-0.17,OC(CO)Cn(cn1)c(C(N2C)=O)c1N(C2=O)C
74,-0.17,O=NN1CCCCC1
75,-0.19,CC(CCC)=O
76,-0.19,OC(CCC)=O
77,-0.2,CN(NC(CCC(O)=O)=O)C
78,-0.2,OC(CCC(O)=O)=O
79,-0.2,CC(C)C(O)C
80,-0.22,O=C(OC)C=C
81,-0.24,CCC(O)CC
82,-0.27,O=C(C(C2OC1CC2)C1C(O)=O)O
83,-0.29,CC(O)CCC
84,-0.29,OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O
85,-0.29,ClCCC#N
86,-0.29,Oc1c(CO)cccc1
87,-0.3,NC(OCC(C)C)=O
88,-0.31,NC(=NC(#N))N
89,-0.38,CC(CC)(O)CC
90,-0.38,Nc1ccc(N)cc1
91,-0.39,COCCC
92,-0.39,OCC(C)C(C)C
93,-0.4,OCc1ccccc1
94,-0.42,OC(C(N)CCSC)=O
95,-0.42,Nc(cccc1)c1N
96,-0.42,OC(C(C)NC)c1ccccc1
97,-0.44,OC1CCCCC1
98,-0.45,CC(CC1CCCCN1)=O
99,-0.46,Oc1cccnc1
100,-0.46,O=C(c1cccnc1)OC
101,-0.47,Cc1ncnc2c1nccn2
102,-0.48,NCC(O)c1ccccc1
103,-0.48,O=C(C(CO)c3ccccc3)OC2CC1C(O4)C4C(C2)N1C
104,-0.49,O=COCCC
105,-0.5,NCCC(C(NC2CC(C(C(C2OC3OC(C(C(C3O)N)O)CO)O)OC1OC(C(C(C1O)O)O)CN)N)=O)O
106,-0.5,OCCC(C)(C)C
107,-0.53,n1c(c[nH]c1)CC(N)C(O)=O
108,-0.54,CCCC(O)C(CC)CO
109,-0.55,OC(C(N)CCC(N)=O)=O
110,-0.59,CC1CO1
111,-0.6,O=C1CCCCC1
112,-0.6,CC(OCC(OC(C)=O)COC(C)=O)=O
113,-0.62,CC(C)(C)C(O)C
114,-0.63,O=C1N(c2ccccc2)N(C)C(C)=C1N(C)C
115,-0.63,C(Cl)(Cl)
116,-0.66,NC(OCCCC)=O
117,-0.66,CCOCCC
118,-0.66,O=C(CC)OCC
119,-0.68,Oc1cccc(C)c1
120,-0.68,O=CNc1ccccc1
121,-0.7,Oc1ccc(Cl)cc1
122,-0.7,Oc1cccc(Cl)c1
123,-0.7,Oc1ccc(C)cc1
124,-0.7,CC(C)C(O)CC
125,-0.71,OCCOc1ccccc1
126,-0.72,CC(O)C(C)CC
127,-0.72,CC(OCCC)=O
128,-0.72,CC(C)(O)C(C)(C)C
129,-0.72,Nc(cccc1)c1O
130,-0.73,OCCN(c1ccccc1)CCO
131,-0.74,O=C(C=C)OCC
132,-0.74,Oc1ccc(N(=O)=O)cc1
133,-0.74,O[NH]c1ccccc1
134,-0.74,NC(CC(N)C(O)=O)=O
135,-0.77,N#CC(c1ccccc1)OC(C(C(O)C2O)O)OC2COC(C(C(O)C3O)O)OC3CO
136,-0.77,CCOCCOCC
137,-0.78,c12ccccc1[nH]nn2
138,-0.8,Nc1ccc(O)cc1
139,-0.8,O=C(NC1=O)N(C=C1)C
140,-0.8,OC(CC)CCC
141,-0.8,C=C(C)C(OC)=O
142,-0.8,CC(C)(C)COC(=O)N
143,-0.82,O=C(OCC)CC(OCC)=O
144,-0.82,c1ccco1
145,-0.82,CCCC(OC)=O
146,-0.83,C=CCS(SCC=C)=O
147,-0.83,C=CC(CCC)=O
148,-0.84,O=C(O)c1cnccc1
149,-0.85,CCCCC=O
150,-0.85,CN(N=O)C(N)=O
151,-0.85,CCOC=C
152,-0.85,Cc1cc(N)ccc1
153,-0.85,CCC(O)(CC)CC
154,-0.85,OC(C(C(C(CO)O2)O)O)C2Oc1ccccc1CO
155,-0.86,O=Cc1c(O)cccc1
156,-0.87,Clc1nc(ncnc2)c2nc1
157,-0.88,CC(CC1)CCC1O
158,-0.88,CC(C(C(C)=O)CCC)=O
159,-0.89,ClCBr
160,-0.89,OC(Cc1ccccc1)=O
161,-0.9,CC(NC(N)=O)=O
162,-0.91,COc1nc(ncnc2)c2nc1
163,-0.92,CC(c1ccccc1)O
164,-0.92,CC(C)(O)CC(C)C
165,-0.96,O=C(CCC(OCC)=O)OCC
166,-0.96,CC=CCC#N
167,-0.96,NC(c1ccccc1)=O
168,-0.96,Oc1ccc(C=O)cc1
169,-0.97,O=C(N(C)c2c1n(C)cn2)N(C)C1=O
170,-0.98,CC(Nc1ccc(N)cc1)=O
171,-0.99,O=C(C=C1)C=CC1=O
172,-0.99,CCCCOC
173,-1.0,CI
174,-1.0,CCC(C)(O)CCC
175,-1.01,O=COCC(C)C
176,-1.03,O=C(Nc(cc1)ccc1O)C
177,-1.04,c12ccccc1NCC2
178,-1.07,O=C(NC=C1F)NC1=O
179,-1.08,CC(C)(O)CCCC
180,-1.09,Brc1ccc(O)cc1
181,-1.09,CCBr
182,-1.1,CC(C)OC(C)C
183,-1.1,O=C(O)COc1ccccc1
184,-1.11,COc2ncc1nccnc1n2
185,-1.11,COc2c1nccnc1ncn2
186,-1.12,NCCc1ccc(O)cc1
187,-1.13,OC(C(CC(C)CC1C)C1=O)CC(CC2=O)CC(N2)=O
188,-1.14,CC(C)CCCO
189,-1.14,NC1=NC(NC=C1)=O
190,-1.16,c12c(cccc2)nco1
191,-1.16,S(=O)(CCCl)CCCl
192,-1.17,CCC(CO)CC
193,-1.17,ClC(Cl)(Cl)
194,-1.19,Oc1ccc(C)cc1C
195,-1.19,O=C(c1ccccc1)
196,-1.2,OCc1ccc(C)cc1
197,-1.2,O=C(OC)C(C2C(OC)=O)C1CC2C=C1
198,-1.21,O=C(C=C)OCC(C)C
199,-1.22,CC(C)(NCC(c1cc(CO)c(O)cc1)O)C
200,-1.22,CC(C)C(O)C(C)C
201,-1.23,O=C(O)C(N)Cc1c[nH]c2c1cccc2
202,-1.23,O=S(NC(C)=O)(c1ccc(N)cc1)=O
203,-1.24,CC(OCCCC)=O
204,-1.24,CCCCCCO
205,-1.25,O=C(C(N1)=O)C(NC1=O)=O
206,-1.27,CC(C)(C)C(C)(O)CC
207,-1.28,CC(c1ccccc1)=O
208,-1.28,CC(c1cc(N)ccc1)=O
209,-1.28,CCCC(OCC)=O
210,-1.29,CC(Cl)Cl
211,-1.3,CC(Nc1ccc(OC)cc1)=O
212,-1.3,c1(cccn2)c2cccc1
213,-1.3,CCCCCC=O
214,-1.32,BrCCCl
215,-1.33,CC(Nc1ccccc1)=O
216,-1.33,CC(CCC(C)C)=O
217,-1.36,CCc(cccc1)c1O
218,-1.36,CCCCC(OC)=O
219,-1.37,N=C(N)NN(=O)=O
220,-1.37,Clc1cc(N)ccc1
221,-1.38,OCCCc1ccccc1
222,-1.38,CC(O)CCC(C)C
223,-1.39,O=C(C(CC)(CC)C(N1)=O)NC1=O
224,-1.4,Cc1cc(C)cc(O)c1
225,-1.4,O=C(c(cc1)ccc1N)OCCN(CC)CC
226,-1.4,CC(Nc(cccc1)c1Cl)=O
227,-1.4,CCCC(O)CCC
228,-1.41,O=C(O)CCc1ccccc1
229,-1.42,CC(CCCCC)=O
230,-1.42,c1(c2ncccc2)ccccn1
231,-1.43,Cc(c(O)ccc1)c1C
232,-1.44,CCCCNCCCC
233,-1.45,c1cccs1
234,-1.45,c1(ccnc2)c2cccc1
235,-1.47,O=C(O)c1cscc1
236,-1.47,ClCCC
237,-1.48,ClC(Cl)CCl
238,-1.49,O=Cc1ccc(OC)cc1
239,-1.5,S(=O)(=O)(CCCl)CCCl
240,-1.51,O=C(O)CNC(N)=N
241,-1.52,c1(cccc2)c2[nH]cc1
242,-1.52,OCC(C)(C)CCC
243,-1.52,OC(c1ccccc1N)=O
244,-1.52,OC(C=C4)C2C5(C4C(N(C)CC5)C3)c1c3ccc(OC)c1O2
245,-1.53,NCc1ccccc1
246,-1.54,c1(c2ccncc2)ccncc1
247,-1.54,Oc1cc(C)ccc1C
248,-1.55,OCCCC(C)(C)C
249,-1.55,OC(c1ccccc1)=O
250,-1.55,CN1CCCCC1C(Nc2c(C)cccc2C)=O
251,-1.55,CSc1nc(ncnc2)c2nc1
252,-1.55,Clc(cc(Cl)cc1)c1O
253,-1.55,CCCCCC(O)C
254,-1.56,CCCCC(=O)CC(=O)C
255,-1.56,Oc1c(OC)cc(CC=C)cc1
256,-1.56,CN2C(NC(N1)=C(C2=O)NC1=O)=O
257,-1.57,Cc(cc(O)cc1)c1Cl
258,-1.57,CNC(Oc1c(C2OCCO2)cccc1)=O
259,-1.58,CC(Nc(cc1)ccc1C=O)=O
260,-1.59,O=C(c1ccc(N)cc1)OC
261,-1.6,C1(c2ccccc2)CO1
262,-1.6,CC(Cl)CCl
263,-1.6,O=C(CC(C)=O)CC(C)C
264,-1.6,Cc1c(N(C(C(OC)=O)C)C(COC)=O)c(C)ccc1
265,-1.6,FC(F)(F)c1c(C(O)=O)cccc1
266,-1.6,OCC(C)CC(C)C
267,-1.6,O=C(Nc1ccccc1)N(C)C
268,-1.61,NS(=O)(c(cc1)ccc1NC(C)=O)=O
269,-1.61,OC(C2OC(C)=O)CNC2Cc1ccc(OC)cc1
270,-1.62,CNC(ON=C(C(C)(C)C)CSC)=O
271,-1.62,O=C(N(CC=C)CC=C)C(Cl)Cl
272,-1.62,ClCCCCl
273,-1.62,CCCOCCC
274,-1.63,O=Cc1cc(OCO2)c2cc1
275,-1.64,c1ccccc1
276,-1.64,C=C(Cl)Cl
277,-1.64,O=S(c1ccccc1C2=O)(N2)=O
278,-1.64,CC2(CC1)CCC1C(O2)(C)C
279,-1.64,O=C(N1)NC(C(CCCC)(CC)C1=O)=O
280,-1.66,Clc1ccc(N)cc1
281,-1.67,CC(COC(N)=O)(CCC)COC(N)=O
282,-1.67,CC(OC1CCCCC1)=O
283,-1.68,O=N(=O)c1cc(C(O)=O)ccc1
284,-1.68,BrCCBr
285,-1.7,O=C(O)c1c(OC)c(Cl)ccc1Cl
286,-1.7,CCNc1ccccc1
287,-1.7,CCCCCCC=O
288,-1.71,FC(F)(F)C(Cl)Br
289,-1.71,O=C(N1)NC(C(C(C)C)(CC=C)C1=O)=O
290,-1.72,CC(O)(C)CCCCC
291,-1.72,CC(O)C(C)CCCC
292,-1.73,O=C1C=CC(c2cc(ccc2O)O)(C=C1)O
293,-1.73,BrCCC
294,-1.74,Oc1ccccc1N(=O)=O
295,-1.74,ClC(Cl)C(Cl)Cl
296,-1.74,NS(=O)(c1ccc(C)cc1)=O
297,-1.75,CCCCC(OCC)=O
298,-1.76,CSc2ncc1nccnc1n2
299,-1.76,NC(c(cccc1)c1O)=O
300,-1.76,Cc1c(NC(CN(CC)CC)=O)c(C)ccc1
301,-1.77,CC=CC=CC(O)=O
302,-1.77,NC(Nc1ccccc1)=S
303,-1.77,O=C(CS1)NC1=S
304,-1.78,Oc1ccc(C(OC)=O)cc1
305,-1.78,O=C(OCCC)c1cc(O)c(O)c(O)c1
306,-1.78,CC(Nc(cc1)ccc1F)=O
307,-1.8,O=N(=O)c1ccccc1
308,-1.8,O=C(NC)Oc1cc(C)ccc1
309,-1.8,Fc1ccccc1
310,-1.81,CCCCCCCO
311,-1.82,Oc1ccccc1C(O)=O
312,-1.83,O=C(c1ccccc1)CC
313,-1.83,CC(N=C1SC(S(N)(=O)=O)=NN1C)=O
314,-1.84,CC15C(O)C=CC2(OC5=O)C1C(C(O)=O)C3(CC4=C)C2CCC4(O)C3
315,-1.85,CCCCOCCCC
316,-1.85,COc1ccccc1
317,-1.86,O=C(O)C(CCC)CCC
318,-1.87,O=C(C=C3)CC(C34CC2)(CCN4C)c1c2ccc(OC)c1O
319,-1.87,O=C1CC(C)CCC1
320,-1.89,C12CCCCN1CC(C(CCCC4)N4C3)CC23
321,-1.89,O=C(OCCCCC)C
322,-1.89,O=C(OCC)C1(c2ccccc2)CCN(C)CC1
323,-1.89,COc1c(C2=O)c(CO2)ccc1OC
324,-1.89,O=C(O)CCCCCCCC(O)=O
325,-1.9,ClC(Br)(Br)
326,-1.91,C(Br)(Br)Br
327,-1.91,CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2
328,-1.91,CC(Nc(cc1)ccc1OC(C)=O)=O
329,-1.92,CCCC(OCCC)=O
330,-1.92,O=C(c(c(C=O)ccc1OC)c1OC)O
331,-1.92,NC(OCCCCCC)=O
332,-1.92,CN(C)c1ccccc1
333,-1.92,O=C(CC)Nc1ccccc1
334,-1.92,CC(OCCC(C)C)=O
335,-1.93,O=C(C(NC1=O)=CC(N1)=O)O
336,-1.93,OC(c1ccccc1)C(c2ccccc2)O
337,-1.94,O=S(c1ccc(N)cc1)(Nc2nnc(CC)s2)=O
338,-1.94,Cc(cc2)cc1c2ccc(C)n1
339,-1.95,CN(C)c1nc(C)c(C)c(OC(N(C)C)=O)n1
340,-1.96,COc(cccc1)c1N(=O)=O
341,-1.96,O=C(O)C=Cc1c[nH]cn1
342,-1.96,CC(Cl)CC
343,-1.96,Nc1ccccc1N(=O)=O
344,-1.97,C1=CCC=CC1
345,-1.99,Oc(cc2)cc1c2CCCC1
346,-2.0,CC(Cl)(Cl)Cl
347,-2.02,Cc1ccccc1S(N)(=O)=O
348,-2.03,ClCCCC
349,-2.05,CC(CCCCCC)=O
350,-2.05,O=C(NC)Oc(cccc1)c1OC(C)C
351,-2.06,O=S(c1ccc(C(C)=O)cc1)(NC(NC2CCCCC2)=O)=O
352,-2.06,C=C(C(O)=O)c1ccccc1
353,-2.06,CC1=CCC(C(C)=C)CC1=O
354,-2.06,O=C(c(cccc1)c1C)O
355,-2.07,c1ccc2C(O)N3CCC(O)C3=Nc2c1
356,-2.07,OC(Cc1c[nH]c2c1cccc2)=O
357,-2.08,CC(c1cc(O)c(C)cc1)C
358,-2.09,CC(Nc1cc(C)ccc1)=O
359,-2.09,O=C(N(C)C)Oc1cc(C)nn1c2ccccc2
360,-2.09,CC(I)C
361,-2.09,C=CCC=C
362,-2.09,CC(O)CCCCCC
363,-2.09,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cc(OC)c(OC)c1
364,-2.1,OCc(c(Cl)ccc1)c1Cl
365,-2.11,OCC(CC)CCCC
366,-2.11,OC(c1ccccc1C(O)=O)=O
368,-2.12,Sc1ccccc1
369,-2.12,Nc1ncnc2c1nc[nH]2
370,-2.13,CN(CN(C)CS1)C1=S
371,-2.14,O=C(c1cc(C)ccc1)O
372,-2.14,c1ccc2C=CC(=O)Nc2c1
373,-2.15,O=C1NCCN1C(NCC(C)C)=O
374,-2.15,C1=CC=CC=CC1
375,-2.16,O=C(O)COc(cccc1)c1Cl
376,-2.16,Oc(cc2)cc1c2nccc1
377,-2.17,O=C(N1)NC(C(C2=CCCCC2)(CC)C1=O)=O
378,-2.17,NC(Nc1ccc(OCC)cc1)=O
379,-2.18,O=C(N1)NC(C(c2ccccc2)(CC=C)C1=O)=O
380,-2.18,O=S(NC(NCCCC)=O)(c(cc1)ccc1N)=O
381,-2.18,ClC(Cl)(Cl)CCl
382,-2.19,O=N(c1ccc(C=NO)o1)=O
383,-2.19,Nc1cccc(N(=O)=O)c1
384,-2.21,O=C(N1)NC(C(C(C)C)(CC)C1=O)=O
385,-2.21,Cc1ccccc1
386,-2.21,OC(c1ccccc1)(c2ccccc2)C(O)=O
387,-2.22,Oc2cccc1ccccc12
388,-2.22,Cc1cc(O)c(C(C)C)cc1
389,-2.22,OC(C(C)Oc1ccccc1Cl)=O
390,-2.22,O=N(OCC(ON(=O)=O)CON(=O)=O)=O
391,-2.23,O=C(N1C)NC(C(CC)(CC)C1=O)=O
392,-2.23,O=C(O)COc(ccc(Cl)c1)c1C
393,-2.24,CCCCc(c(O)nc(N(C)C)n1)c1C
394,-2.24,Cc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1
395,-2.24,CC(Nc(cccc1)c1O)=O
396,-2.26,S=C(NC=C1)NC1=O
397,-2.28,Oc2cc1ccccc1cc2
398,-2.28,O=C(NC1=O)C(N(=O)=O)C(N1)=O
399,-2.29,ICCC
400,-2.3,CCCCCCCC(O)=O
401,-2.3,S=P(OCC)(OCC)Oc1ccc(S(C)=O)cc1
402,-2.31,Fc1c(F)c(F)cc(F)c1
403,-2.31,ClC(Cl)(Cl)Cl
404,-2.32,O=C(OCC)c1ccccc1
405,-2.32,CC1(C)C2CCC1(C)C(O)C2
406,-2.32,Nc1ccc(S(=O)(Nc2ccnn2c3ccccc3)=O)cc1
407,-2.33,O=C(c(cc1)ccc1N)OCCC
408,-2.33,O=C(NN)Nc1ccccc1
409,-2.34,Oc1c(cccc1)C(OC)=O
410,-2.34,Oc(c(Cl)cc(Cl)c1)c1Cl
411,-2.34,CCC(CCC2=O)(c1ccccc1)C(N2)=O
412,-2.35,Nc1c(CC)cccc1CC
413,-2.35,O=C(OCC)c1ccccc1C(OCC)=O
414,-2.35,O=C(c1ccc(O)cc1)OCC
415,-2.36,CCCCCCCC=O
416,-2.36,C#CCCCC
417,-2.36,O=C(NC1CCCCCCC1)N(C)C
418,-2.36,CSc2c1nccnc1ncn2
419,-2.36,S=C2N=CC1=C(N2)N=CC=N1
420,-2.37,CCOc1ccc(NC(C)=O)cc1
421,-2.37,CCCCBr
422,-2.38,Clc1ccccc1
423,-2.38,BrC(CCl)CBr
424,-2.38,N#Cc1ccccc1C#N
425,-2.38,Oc1c(cn[nH]2)c2ncn1
426,-2.39,ClCc1ccccc1
427,-2.39,Oc(cccc2)c2c1ccccc1
428,-2.39,CSc1ccccc1
429,-2.4,ClC(Cl)CCC
430,-2.41,O=C(c(cc1)ccc1OC)OC
431,-2.41,Cc1nnc(NS(=O)(c2ccc(N)cc2)=O)s1
432,-2.41,O=N(c1ccc(OC)cc1)=O
433,-2.42,Cc1c[nH]c2c1cccc2
434,-2.43,CC(C)CBr
435,-2.43,S=C(NC(C)=C1)NC1=O
436,-2.43,Nc1ccc(S(Nc2nccs2)(=O)=O)cc1
437,-2.43,O=C(C(S(=O)(CCO2)=O)=C2C)Nc1ccccc1
438,-2.44,O=N(c1cc(C)ccc1)=O
439,-2.44,O=S(c1ccc(N)cc1)(Nc2nc(C)c(C)o2)=O
440,-2.45,n(cc(c(n1)O)C)c1S
441,-2.45,CC(C(O)=O)Oc(ccc(Cl)c1)c1Cl
442,-2.47,O=C(O)c1c(Cl)c(N)cc(Cl)c1
443,-2.48,O=C(N1C(C)(C)C)C(Cl)=C(C)NC1=O
444,-2.48,OC(C=Cc1ccccc1)=O
445,-2.48,O=C(CCl)N(C(C)C)c1ccccc1
446,-2.51,Clc1c(OCC(O)=O)ccc(Cl)c1
447,-2.52,O=C2c1c(O)ccc(Cl)c1C(O)C3C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4C3
448,-2.52,CC(C(C(NC1=O)=O)(C(N1)=O)CC)CCC
449,-2.53,COc1c(O)cc(Cl)c(Cl)c1
450,-2.54,CC=CCC
451,-2.54,ClCc(cc1)ccc1F
452,-2.54,Oc1c(cccn2)c2ccc1
453,-2.54,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1
454,-2.55,Clc1cc(C)c(OC(C)C(O)=O)cc1
455,-2.56,CC1=C(C(Nc2ccccc2)=O)CCCO1
456,-2.57,O=C(N1)NC(C(CCC(C)C)(CC)C1=O)=O
457,-2.58,COc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1
458,-2.58,CC(CCCCCCC)=O
459,-2.59,C1=CCCCC1
460,-2.59,OC(c1cc(Cl)ccc1)=O
461,-2.59,CCc1cccs1
462,-2.6,C1(CN(c3ccccc3)Cc2ccccc2)=NCCN1
463,-2.6,C(Cl)(Cl)C(Cl)(Cl)Cl
464,-2.6,COc1ccc(C(C2CC2)(c3cncnc3)O)cc1
465,-2.61,OC(CN1C(Sc2c1c(Cl)ccc2)=O)=O
466,-2.62,O=S(Nc1noc(C)c1)(c2ccc(N)cc2)=O
467,-2.62,NC(OCCCCCCC)=O
468,-2.62,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NCN2)=O
469,-2.63,C12C(ON(=O)=O)COC1C(ON(=O)=O)CO2
470,-2.63,O=C(c1ccc(N)cc1)CC
471,-2.63,CC(Cl)CCC
472,-2.64,C1CCCC1
473,-2.64,CN(CCN(c2ncccc2)Cc1ccccc1)C
474,-2.64,CN(C)CCN(c2ccccn2)Cc1cccs1
475,-2.65,OC(Cc2cccc1ccccc12)=O
476,-2.68,CC(C)N2C(c1ccccc1NS2(=O)=O)=O
477,-2.68,C=CCCC=C
478,-2.68,C=CCCC
479,-2.68,c12c(cccn3)c3ccc1cccn2
480,-2.69,CC(Nc1ccc(N(=O)=O)cc1)=O
481,-2.69,ClC(C(C)(Cl)C)C
482,-2.7,CC(Cl)C(Cl)C
483,-2.7,Nc(cc2)ccc2c1ccc(N)cc1
484,-2.7,O=C(O)CCCCCCCCCCN
485,-2.71,CCCCCCC(OCC)=O
486,-2.71,c1cc(OCC)ccc1C(=O)OCCN(CC)CC
487,-2.72,Oc1ccc(C(OCCCC)=O)cc1
488,-2.73,OC(c1ccccc1I)=O
489,-2.73,O=C(N(c1c(C)cccc1CC)C(C)COC)CCl
490,-2.73,CCCCCCl
491,-2.74,O=C(N1C)NC(C(C2=CCCCC2)(C)C1=O)=O
492,-2.75,CCCCCCCCC(O)=O
493,-2.75,O=C(c(nc(Cl)c(Cl)c1N)c1Cl)O
494,-2.76,C(C2)(C=C)C1CC(C(O)c3ccnc4c3cc(OC)cc4)N2CC1
495,-2.77,S=C2C1=C(N=CN2)N=CC=N1
496,-2.78,c12c(cccc3)c3ncc1cccc2
497,-2.8,Clc(c(C)cc(O)c1)c1C
498,-2.8,Cc1c(C)cccc1
499,-2.81,O=C(NCc2ccccc2)Cn1c(N(=O)=O)ncc1
500,-2.82,CN2C(ON(C2=O)c1ccc(c(Cl)c1)Cl)=O
501,-2.82,Cc1cc(C)ccc1
502,-2.82,OC4C13C(C5N(C(O)C6CC)C(C4C6C5)C3)N(C)c2c1cccc2
503,-2.82,O=S(c1ccc(N)cc1)(c2ccc(N)cc2)=O
504,-2.84,CC(Nc1ccc(Cl)cc1)=O
505,-2.85,Cc1nc(NS(=O)(c2ccc(cc2)N)=O)ncc1
506,-2.86,Nc1ncc(Cc2cc(OC)c(OC)c(OC)c2)c(N)n1
507,-2.86,O=C(O)C(N)Cc1cc(I)c(O)c(I)c1
508,-2.87,O=C(C(C4=O)=C(O)C(N(C)C)C3C(O)C2C(C)c1c(C(C2=C(O)C34O)=O)c(O)ccc1)N
509,-2.87,O=C1C(Cl)=C(N)C=NN1c2ccccc2
510,-2.88,CN(C2C1CC4C(C(c3c(C4(O)C)c(Cl)ccc3O)=O)=C(C1(C(C(C(N)=O)=C2O)=O)O)O)C
511,-2.89,O=C(N(C)C)Nc1ccc(Cl)cc1
512,-2.89,CC(C)CCBr
513,-2.91,O=S(Nc(onc2C)c2C)(c1ccc(N)cc1)=O
514,-2.92,Oc1c(cccc2O)c2ccc1
515,-2.92,C=CCc1ccc(OC)cc1
516,-2.92,NC(c(cccc1)c1C(N)=O)=O
517,-2.93,O=C(N(C)C)Nc1cc(OC(NC(C)(C)C)=O)ccc1
518,-2.93,O=C2c1c(O)cc(OC)cc1Oc(cc3)c2cc3O
519,-2.96,CCCCI
520,-2.96,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(OC)n1
521,-2.98,O=C(N(C)C)C(c2ccccc2)c1ccccc1
522,-3.0,O=C(OCC)C=Cc1ccccc1
523,-3.0,O=C(CC)Nc1cc(Cl)c(Cl)cc1
524,-3.0,O=C(N1)NC(C(C2=CCCCCC2)(CC)C1=O)=O
525,-3.01,CCCCCCCCCO
526,-3.01,O=C(NC1C2C3CCCC3C(C1)C2)N(C)C
527,-3.01,C#CCCCCC
528,-3.02,CCCCc1c(O)nc(NCC)nc1C
529,-3.03,CCN(c1ccccc1)CC
530,-3.04,O=C([NH]O)C(c1ccc(CC(C)C)cc1)C
531,-3.04,CC(C)Nc1nc(NCC)nc(SC)n1
532,-3.05,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NC=N2)=O
533,-3.05,O=S(c1ccccc1)(NC(NCCCC)=O)=O
534,-3.05,Clc1c(Cl)cccc1
535,-3.07,OC(c2c(cccc4)c4ncc2)C1N(CC3)CC(C=C)C3C1
536,-3.07,BrCCCCC
537,-3.08,Oc(cc(O)cc3)c3C2=C(O)C(c1c(O)cc(O)cc1O2)=O
538,-3.09,OC(C3N4CC(C=C)C(CC4)C3)c1ccnc2c1cccc2
539,-3.09,CC1(CCC2C3C)C=CC(C(C)=C1C2OC3=O)=O
540,-3.11,CCc1ccc(C)cc1
541,-3.11,O=C1CCC2(C)C(CCC3C2C(CC4(C)C3CCC4(O)C(CO)=O)=O)=C1
542,-3.12,ClCCCCCC
543,-3.12,Oc1cccc3c1C(C2=C(O)C(C(C(C(N)=O)=C(O)C4N(C)C)=O)(O)C4CC2C3(O)C)=O
544,-3.12,CCCCN(CCCC)CCCC
545,-3.12,ClC(F)(F)C(F)(F)Cl
